ask_cap,spread_cap,edge3,kill_switch_L,total_trades,wins,losses,total_pnl,win_rate,avg_pnl_per_trade,max_drawdown,sharpe_like,pnl_efficiency,bucket3_trades,bucket3_pnl,kill_activations,pnl_saved,delta_pnl,delta_trades
0.68,0.015,0.66,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.015,0.68,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.015,0.7,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.015,0.72,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.015,0.74,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.02,0.66,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.02,0.68,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.02,0.7,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.02,0.72,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.68,0.02,0.74,999,1294,922,372,509.2437954202657,71.25193199381762,0.3935423457652749,75.4257507198688,0.7329947253767186,6.751590677719562,0,0.0,0,0,527.5429916312806,1261
0.7,0.015,0.7,999,1338,954,384,494.9200245619682,71.30044843049326,0.36989538457546206,76.91783067742216,0.7184999905307031,6.434399153007354,0,0.0,0,0,513.2192207729831,1305
0.7,0.015,0.72,999,1338,954,384,494.9200245619682,71.30044843049326,0.36989538457546206,76.91783067742216,0.7184999905307031,6.434399153007354,0,0.0,0,0,513.2192207729831,1305
0.7,0.015,0.74,999,1338,954,384,494.9200245619682,71.30044843049326,0.36989538457546206,76.91783067742216,0.7184999905307031,6.434399153007354,0,0.0,0,0,513.2192207729831,1305
0.72,0.015,0.72,999,1338,954,384,494.9200245619682,71.30044843049326,0.36989538457546206,76.91783067742216,0.7184999905307031,6.434399153007354,0,0.0,0,0,513.2192207729831,1305
0.72,0.015,0.74,999,1338,954,384,494.9200245619682,71.30044843049326,0.36989538457546206,76.91783067742216,0.7184999905307031,6.434399153007354,0,0.0,0,0,513.2192207729831,1305
0.74,0.015,0.74,999,1338,954,384,494.9200245619682,71.30044843049326,0.36989538457546206,76.91783067742216,0.7184999905307031,6.434399153007354,0,0.0,0,0,513.2192207729831,1305
0.7,0.02,0.7,999,1342,957,385,493.10378027769326,71.31147540983606,0.3674394785973869,77.130959407175,0.7255340235978343,6.393072043543426,0,0.0,0,0,511.4029764887082,1309
0.7,0.02,0.72,999,1342,957,385,493.10378027769326,71.31147540983606,0.3674394785973869,77.130959407175,0.7255340235978343,6.393072043543426,0,0.0,0,0,511.4029764887082,1309
0.7,0.02,0.74,999,1342,957,385,493.10378027769326,71.31147540983606,0.3674394785973869,77.130959407175,0.7255340235978343,6.393072043543426,0,0.0,0,0,511.4029764887082,1309
0.72,0.02,0.72,999,1342,957,385,493.10378027769326,71.31147540983606,0.3674394785973869,77.130959407175,0.7255340235978343,6.393072043543426,0,0.0,0,0,511.4029764887082,1309
0.72,0.02,0.74,999,1342,957,385,493.10378027769326,71.31147540983606,0.3674394785973869,77.130959407175,0.7255340235978343,6.393072043543426,0,0.0,0,0,511.4029764887082,1309
0.74,0.02,0.74,999,1342,957,385,493.10378027769326,71.31147540983606,0.3674394785973869,77.130959407175,0.7255340235978343,6.393072043543426,0,0.0,0,0,511.4029764887082,1309
0.72,0.015,0.7,999,1445,1036,409,484.5726850486224,71.6955017301038,0.33534441871876985,92.35652124092798,0.6939416354215463,5.24676198862591,331,-0.7550860719875967,0,0,502.87188125963735,1412
0.72,0.02,0.7,999,1445,1036,409,483.57690177734474,71.6955017301038,0.33465529534764343,92.4630856058044,0.6927909103269944,5.229945535659131,328,-6.8818466353678485,0,0,501.8760979883597,1412
0.74,0.02,0.72,999,1500,1081,419,482.8792536417872,72.06666666666666,0.32191950242785816,93.27022305388368,0.6779389494696381,5.1772070209676695,341,28.061828952239978,0,0,501.17844985280215,1467
0.72,0.015,0.66,999,1445,1036,409,481.9415036072396,71.6955017301038,0.3335235319081243,92.47462829187236,0.6907130018887392,5.211607902722412,369,33.08238318801687,0,0,500.24069981825454,1412
0.72,0.015,0.68,999,1445,1036,409,481.9415036072396,71.6955017301038,0.3335235319081243,92.47462829187236,0.6907130018887392,5.211607902722412,369,33.08238318801687,0,0,500.24069981825454,1412
0.68,0.025,0.66,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.025,0.68,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.025,0.7,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.025,0.72,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.025,0.74,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.03,0.66,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
0.68,0.03,0.68,999,1316,933,383,481.00370218017247,70.8966565349544,0.36550433296365686,76.35335252982361,0.6876122219485111,6.29970638148852,0,0.0,0,0,499.3028983911874,1283
