Rank,ask_cap,spread_cap,edge3,kill_L,trades,wins,losses,WR%,avg_win,avg_loss,total_pnl,pnl/trade,max_dd,worst_day,worst_wk,pnl_std,pct5_boot,slip_adj,efficiency,kill_acts
194,0.66,0.025,0.72,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,96.15,238.74,3.55,1
195,0.66,0.025,0.74,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,112.00,238.74,3.55,1
196,0.66,0.030,0.66,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,88.00,238.74,3.55,1
197,0.66,0.030,0.68,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,96.15,238.74,3.55,1
198,0.66,0.030,0.70,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,96.74,238.74,3.55,1
199,0.66,0.030,0.72,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,99.07,238.74,3.55,1
200,0.66,0.030,0.74,5,730,511,219,70.0,2.65,-5.00,256.99,0.352,72.41,-35.97,19.14,31.16,110.84,238.74,3.55,1
201,0.74,0.015,0.66,3,34,21,13,61.8,2.29,-5.00,-17.01,-0.500,17.04,-9.46,-17.01,1.35,-49.73,-17.86,-1.00,1
202,0.74,0.015,0.68,3,34,21,13,61.8,2.29,-5.00,-17.01,-0.500,17.04,-9.46,-17.01,1.35,-51.97,-17.86,-1.00,1
203,0.74,0.020,0.66,3,34,21,13,61.8,2.29,-5.00,-17.01,-0.500,17.04,-9.26,-17.01,1.06,-52.80,-17.86,-1.00,1
204,0.74,0.020,0.68,3,34,21,13,61.8,2.29,-5.00,-17.01,-0.500,17.04,-9.26,-17.01,1.06,-52.84,-17.86,-1.00,1
205,0.74,0.020,0.70,3,34,21,13,61.8,2.28,-5.00,-17.11,-0.503,17.11,-9.45,-17.11,1.27,-52.04,-17.96,-1.00,1
